Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20180906_ATL@PHI,20180906,ATL,27:50,16,4,9,3,4-15,0-1,299,65,4.6,74,18,4.1,225,21-43,5.2,4-26,15-135,1,1,0,0,1,1-0,1,6-42.8,11,2-11,0-0,1-0,2/3,0/1,2/2,1-5,1-4,0
20180906_ATL@PHI,20180906,PHI,32:10,18,7,6,5,8-16,0-0,232,64,3.6,113,27,4.2,119,20-35,3.4,2-13,11-101,2,2,0,0,2,2-1,1,6-47.0,72,4-29,2-43,1-0,2/2,1/1,1/1,2-3,1-2,0
20180909_BUF@BAL,20180909,BUF,24:46,10,3,5,2,2-15,0-1,153,61,2.5,83,22,3.8,70,11-33,2.1,6-28,10-100,0,0,0,0,2,1-0,2,8-42.9,184,3-19,5-165,0-0,1/2,0/0,1/2,0-1,0-1,0
20180909_BUF@BAL,20180909,BAL,35:14,26,11,13,2,6-14,0-0,369,74,5.0,117,34,3.4,252,26-38,6.6,2-8,9-78,6,3,3,0,1,4-1,0,5-47.6,78,6-54,1-24,2-0,7/7,5/5,2/2,6-6,5-5,0
20180909_PIT@CLE,20180909,PIT,35:12,25,7,17,1,7-15,0-0,472,80,5.9,159,35,4.5,313,23-41,7.6,4-22,12-116,3,2,1,0,6,3-3,3,7-37.1,125,5-56,3-69,1-0,3/4,3/3,0/1,2-3,2-2,0
20180909_PIT@CLE,20180909,CLE,34:48,22,10,6,6,5-18,0-1,327,85,3.8,177,38,4.7,150,15-40,3.8,7-47,11-87,3,2,1,0,1,1-0,1,12-37.2,61,1-15,3-46,3-0,3/4,3/3,0/1,2-3,1-1,0
20180909_CIN@IND,20180909,CIN,27:12,19,5,11,3,4-8,0-0,330,50,6.6,101,20,5.1,229,21-28,8.2,2-14,8-94,4,1,2,1,2,2-1,1,2-48.0,41,1--1,2-42,1-0,6/6,4/4,2/2,2-2,2-2,0
20180909_CIN@IND,20180909,IND,32:48,24,4,17,3,11-17,0-0,380,77,4.9,75,22,3.4,305,39-53,5.8,2-14,7-91,2,0,2,0,2,1-1,1,2-48.0,54,1-0,2-54,1-0,5/6,2/2,3/4,1-3,1-3,0
20180909_TEN@MIA,20180909,TEN,29:35,19,4,13,2,6-14,0-2,336,67,5.0,116,29,4.0,220,20-38,5.8,0-0,5-48,2,1,0,1,3,0-0,3,4-44.5,165,2-44,2-121,2-0,4/4,2/2,2/2,1-2,1-2,0
20180909_TEN@MIA,20180909,MIA,30:25,18,7,9,2,2-10,0-1,343,58,5.9,121,29,4.2,222,20-28,7.9,1-8,7-51,3,0,2,1,2,0-0,2,4-32.8,126,2-1,2-125,3-0,5/5,3/3,2/2,1-5,1-2,0
20180909_SF@MIN,20180909,SF,28:51,20,6,10,4,5-13,0-0,327,61,5.4,90,25,3.6,237,15-33,7.2,3-24,3-21,1,0,1,0,4,2-1,3,4-41.8,14,2-14,0-0,0-0,4/4,1/1,3/3,1-4,0-2,0
20180909_SF@MIN,20180909,MIN,31:09,19,3,15,1,7-17,0-1,343,71,4.8,116,32,3.6,227,20-36,6.3,3-17,7-52,2,0,2,0,1,1-1,0,6-36.0,7,3-7,0-0,3-0,4/4,3/3,1/1,1-2,1-1,0
20180909_HOU@NE,20180909,HOU,28:50,21,10,8,3,2-11,0-1,325,72,4.5,167,34,4.9,158,17-35,4.5,3-18,6-44,2,1,1,0,2,1-1,1,6-38.3,176,2-20,5-156,1-0,4/4,2/2,2/2,2-5,2-2,0
20180909_HOU@NE,20180909,NE,31:10,23,5,16,2,4-14,1-1,389,72,5.4,122,31,3.9,267,26-39,6.8,2-10,6-36,3,0,3,0,3,3-2,1,6-43.5,19,1-0,1-19,1-0,5/5,3/3,2/2,3-4,1-1,0
20180909_TB@NO,20180909,TB,32:09,26,5,17,4,8-13,0-0,529,62,8.5,112,34,3.3,417,21-28,14.9,0-0,7-70,6,1,4,1,0,1-0,0,1-42.0,52,3-19,2-33,0-0,8/9,6/6,2/3,2-4,1-2,0
20180909_TB@NO,20180909,NO,27:51,26,5,19,2,4-9,1-1,475,59,8.1,43,13,3.3,432,37-45,9.6,1-7,8-77,5,2,3,0,2,2-2,0,3-45.7,69,1-0,3-69,0-0,4/4,3/3,1/1,4-5,1-1,0
20180909_JAC@NYG,20180909,JAC,29:31,17,4,13,0,4-13,0-0,305,62,4.9,137,28,4.9,168,18-33,5.1,1-8,11-119,1,0,1,0,1,0-0,1,7-37.1,55,2-10,2-45,1-0,5/5,3/3,2/2,1-2,1-1,0
20180909_JAC@NYG,20180909,NYG,30:29,15,3,8,4,4-13,0-2,324,62,5.2,114,23,5.0,210,23-37,5.7,2-14,6-43,1,1,0,0,2,1-1,1,5-43.4,19,3-4,1-15,1-0,3/3,0/0,3/3,0-2,0-1,0
20180909_KC@LAC,20180909,KC,25:34,19,7,10,2,4-10,0-0,362,55,6.6,106,27,3.9,256,15-27,9.5,1-0,6-50,5,0,4,1,0,0-0,0,5-52.2,128,2-95,2-33,1-0,7/7,6/6,1/1,2-2,2-2,0
20180909_KC@LAC,20180909,LAC,34:26,33,7,23,3,3-11,1-1,541,74,7.3,123,22,5.6,418,34-51,8.2,1-6,7-45,3,0,3,0,2,2-1,1,3-16.3,31,2--5,2-36,0-0,2/3,0/0,2/3,2-2,1-1,0
20180909_WAS@ARI,20180909,WAS,38:08,30,10,13,7,6-13,1-1,429,75,5.7,182,42,4.3,247,21-30,8.2,3-8,9-63,3,1,2,0,1,3-1,0,4-35.5,36,2-12,2-24,1-0,4/4,3/3,1/1,3-4,1-1,0
20180909_WAS@ARI,20180909,ARI,21:52,14,7,6,1,1-8,0-1,213,51,4.2,68,15,4.5,145,20-34,4.3,2-8,9-67,1,1,0,0,2,1-1,1,5-46.2,44,2-44,0-0,0-0,0/0,0/0,0/0,1-2,1-2,0
20180909_DAL@CAR,20180909,DAL,29:24,17,4,10,3,2-11,0-1,232,57,4.1,94,22,4.3,138,19-29,4.8,6-32,10-85,1,1,0,0,1,1-1,0,6-38.5,13,2-13,0-0,0-0,0/1,0/0,0/1,1-1,0-0,0
20180909_DAL@CAR,20180909,CAR,30:36,20,9,9,2,4-12,0-0,293,61,4.8,147,32,4.6,146,17-26,5.6,3-15,9-80,2,2,0,0,1,2-1,0,6-42.3,62,4-62,0-0,0-0,2/3,1/2,1/1,2-5,2-2,0
20180909_SEA@DEN,20180909,SEA,24:52,13,1,10,2,2-12,0-0,306,55,5.6,64,16,4.0,242,19-33,7.3,6-56,7-45,3,0,3,0,3,3-1,2,6-57.5,50,3-11,2-39,3-0,4/5,3/3,1/2,1-2,0-1,0
20180909_SEA@DEN,20180909,DEN,35:08,25,8,15,2,4-12,0-0,470,72,6.5,146,32,4.6,324,25-39,8.3,1-5,7-60,3,0,3,0,3,0-0,3,6-42.7,9,2-9,0-0,2-0,5/5,3/3,2/2,1-1,1-1,0
20180909_CHI@GB,20180909,CHI,33:22,18,7,8,3,7-17,0-2,294,66,4.5,139,27,5.1,155,23-35,4.4,4-16,5-35,1,1,0,0,1,2-1,0,4-46.0,63,2-45,1-18,1-0,6/6,3/3,3/3,1-4,1-2,0
20180909_CHI@GB,20180909,GB,26:38,16,2,14,0,5-13,0-1,370,59,6.3,69,18,3.8,301,24-37,8.1,4-40,8-72,3,0,3,0,2,2-1,1,4-36.8,85,1-17,3-68,0-0,4/4,3/3,1/1,1-2,0-1,0
20180910_NYJ@DET,20180910,NYJ,33:07,18,7,10,1,6-14,2-3,349,59,5.9,169,36,4.7,180,16-21,8.6,2-18,7-49,5,2,2,1,2,1-1,1,3-37.3,182,3-137,2-45,5-0,10/10,8/8,2/2,1-4,1-2,0
