player,position,team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,total,average
Aaron Rodgers ,QB,GB,46,77,69,76,81,71,bye,52,0, , , , , , , , ,472,67.4
Adrian Peterson ,RB,WAS,42,25,32,bye,13,37,34,41,0, , , , , , , , ,224,32.0
Alex Smith ,QB,WAS,79,74,61,bye,61,70,60,68,0, , , , , , , , ,473,67.6
Antonio Gates ,TE,LAC,33,11,22,23,23,16,13,bye,0, , , , , , , , ,141,20.1
Ben Roethlisberger ,QB,PIT,84,82,66,62,60,73,bye,70,0, , , , , , , , ,497,71.0
Benjamin Watson ,TE,NO,51,54,45,37,36,bye,36,14,0, , , , , , , , ,273,39.0
Brian Hoyer ,QB,NE,0,0,0,4,0,0,0,2,0, , , , , , , , ,6,3.0
Chase Daniel ,QB,CHI,0,0,0,3,bye,0,1,0,0, , , , , , , , ,4,2.0
Danny Amendola ,WR,MIA,45,44,31,42,53,75,55,65,0, , , , , , , , ,410,51.3
Darren Sproles ,RB,PHI,29,0,0,0,0,0,0,0,bye, , , , , , , , ,29,29.0
Darrius Heyward-Bey ,WR,PIT,1,6,4,5,0,0,bye,2,0, , , , , , , , ,18,3.6
Delanie Walker ,TE,TEN,39,0,0,0,0,0,0,bye,0, , , , , , , , ,39,39.0
Derek Anderson ,QB,BUF,0,0,0,0,0,0,56,62,0, , , , , , , , ,118,59.0
DeSean Jackson ,WR,TB,20,34,43,39,bye,34,43,46,0, , , , , , , , ,259,37.0
Drew Brees ,QB,NO,64,66,79,70,63,bye,71,53,0, , , , , , , , ,466,66.6
Eli Manning ,QB,NYG,71,68,62,62,56,65,64,70,bye, , , , , , , , ,518,64.8
Frank Gore ,RB,MIA,18,24,16,25,26,30,25,29,0, , , , , , , , ,193,24.1
Greg Olsen ,TE,CAR,16,0,0,bye,0,59,59,63,0, , , , , , , , ,197,49.3
Jared Cook ,TE,OAK,67,52,62,76,48,51,bye,31,0, , , , , , , , ,387,55.3
Joe Flacco ,QB,BAL,55,85,72,76,87,76,68,61,0, , , , , , , , ,580,72.5
Jonathan Stewart ,RB,NYG,10,5,2,0,0,0,0,0,bye, , , , , , , , ,17,5.7
Jordy Nelson ,WR,OAK,72,54,55,80,47,57,bye,45,0, , , , , , , , ,410,58.6
Julian Edelman ,WR,NE,0,0,0,0,48,71,63,73,0, , , , , , , , ,255,63.8
Larry Fitzgerald ,WR,ARI,52,26,48,52,42,49,64,66,bye, , , , , , , , ,399,49.9
LeSean McCoy ,RB,BUF,34,30,0,36,47,47,2,46,0, , , , , , , , ,242,34.6
Marcedes Lewis ,TE,GB,7,14,7,17,12,22,bye,12,0, , , , , , , , ,91,13.0
Marshawn Lynch ,RB,OAK,27,42,42,50,21,30,bye,0,0, , , , , , , , ,212,35.3
Matt Cassel ,QB,DET,7,0,0,0,0,bye,0,0,0, , , , , , , , ,7,7.0
Matt Ryan ,QB,ATL,70,62,68,70,64,67,65,bye,0, , , , , , , , ,466,66.6
Matt Schaub ,QB,ATL,0,1,0,0,8,0,0,bye,0, , , , , , , , ,9,4.5
Matt Slater ,WR,NE,0,0,0,3,2,1,0,2,0, , , , , , , , ,8,1.0
Matthew Stafford ,QB,DET,63,77,73,54,62,bye,64,59,0, , , , , , , , ,452,64.6
